Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
01/01/2021;0;21;63;1001,2;0;0;0;12,4;29,4;;
01/01/2021;1200;22,8;57;1004,6;1,6;140;3;;;15,4;0
01/01/2021;1800;28,8;37;1003;3,5;140;2;;;;
02/01/2021;0;22,4;61;1002,4;0,5;140;3;12;32;;
02/01/2021;1200;23,6;53;1004,6;1,3;140;0;;;14,2;0
02/01/2021;1800;30,6;34;1001,4;1,6;180;0;;;;
03/01/2021;0;25,8;51;1001,1;4,1;140;0;12,4;30,8;;
03/01/2021;1200;22,4;71;1001,9;3,3;180;0;;;16,8;0
03/01/2021;1800;30,8;44;998,7;4,3;180;2;;;;
04/01/2021;0;25,6;56;998;0,8;90;0;9,2;33,4;;
04/01/2021;1200;26;58;998,4;3,5;140;8;;;18,8;0
04/01/2021;1800;33,2;43;996,4;2,3;140;8;;;;
05/01/2021;0;28;59;996,3;3,3;140;10;1,7;29;;
05/01/2021;1200;23,2;81;998,7;7,6;50;10;;;22,4;2,9
05/01/2021;1800;27,2;66;997,6;2,5;50;10;;;;
06/01/2021;0;24;88;997,2;1,6;180;0;11,7;34,2;;
06/01/2021;1200;27;72;999,1;1,3;270;5;;;19,6;1,8
06/01/2021;1800;33,2;50;997,5;2,1;270;7;;;;
07/01/2021;0;26,8;78;996,8;0,5;230;0;11,6;33,2;;
07/01/2021;1200;27,2;59;999,1;1,6;360;3;;;23,4;0
07/01/2021;1800;32,8;42;997;2;320;3;;;;
08/01/2021;0;26,4;59;997,2;0;0;10;12,2;33,8;;
08/01/2021;1200;26,8;47;1000,4;0,8;320;0;;;16;0
08/01/2021;1800;33,4;27;998,8;2,5;50;0;;;;
09/01/2021;0;25;60;997,8;0,5;90;0;7,8;35,4;;
09/01/2021;1200;27,8;59;1000,4;1,8;140;0;;;17,2;0
09/01/2021;1800;35,2;40;996,4;2,1;180;8;;;;
10/01/2021;0;28,6;58;998,4;4;360;8;12,2;;;
10/01/2021;1200;28;64;1000,6;1,3;90;5;;;19,8;0
10/01/2021;1800;34,4;46;998,3;2,8;180;5;;;;
11/01/2021;0;30;65;997,2;1,3;90;2;11,3;38;;
11/01/2021;1200;29,8;65;997,2;2,5;90;7;;;24,2;0
11/01/2021;1800;37,4;40;993,4;5;360;7;;;;
12/01/2021;0;27,2;70;996,3;6,6;230;10;0;27,2;;
12/01/2021;1200;22,4;94;1001,4;1;180;10;;;22;28
12/01/2021;1800;25,4;79;1003,1;1,6;180;10;;;;
13/01/2021;0;23,4;82;1002,6;3,3;140;7;4,3;26;;
13/01/2021;1200;21,4;79;1006;3;180;8;;;20;0
13/01/2021;1800;25,4;68;1005,8;4,6;180;10;;;;
14/01/2021;0;22,4;66;1005,6;4,6;180;4;12,3;28,8;;
14/01/2021;1200;21,4;76;1006,6;6;180;2;;;16;0
14/01/2021;1800;28,2;52;1003,5;4,6;180;0;;;;
15/01/2021;0;23,4;67;1002,7;2,8;180;0;11,3;33,2;;
15/01/2021;1200;23,4;77;1001,2;2,5;140;0;;;18,2;0
15/01/2021;1800;32,6;56;995,4;4;140;6;;;;
16/01/2021;0;28,2;74;993,8;0,8;180;10;0,6;28,2;;
16/01/2021;1200;27;74;992,3;1,6;270;9;;;24,6;0
16/01/2021;1800;22,4;93;992,2;3;90;9;;;;
17/01/2021;0;24,6;87;992,6;2;80;8;4,4;28,4;;
17/01/2021;1200;24,4;88;995,8;1,3;320;10;;;21,8;24,1
17/01/2021;1800;27,4;70;994;3,3;180;9;;;;
18/01/2021;0;23;72;996,8;0,8;320;8;11,7;27,4;;
18/01/2021;1200;21,8;69;1002,6;0,8;140;0;;;14,8;0
18/01/2021;1800;26,6;53;1002,2;2,5;140;4;;;;
19/01/2021;0;22,2;79;1002,2;1;140;3;11;28,6;;
19/01/2021;1200;20,2;85;1005,2;1,3;140;3;;;20,1;0
19/01/2021;1800;27,6;47;1003,1;5;140;0;;;;
20/01/2021;0;23,4;67;1004;2,5;140;0;9,2;28;;
20/01/2021;1200;21,8;81;1006,3;4,3;140;7;;;18,4;0
20/01/2021;1800;27,2;66;1003,8;5,6;140;8;;;;
21/01/2021;0;24,2;74;1004,4;3;140;5;7,4;28,2;;
21/01/2021;1200;23,2;78;1006,6;3,3;180;6;;;20,6;0
21/01/2021;1800;28;66;1005,6;5;180;8;;;;
22/01/2021;0;23,6;86;1006,4;2,8;180;8;11,2;31,6;;
22/01/2021;1200;25,2;81;1007,2;3,3;140;4;;;20,8;0
22/01/2021;1800;31;56;1004,3;4,6;140;4;;;;
23/01/2021;0;26,4;71;1005,4;2,5;140;0;12;31,8;;
23/01/2021;1200;24,6;81;1007;2,6;140;0;;;20,2;0
23/01/2021;1800;31,8;51;1001,6;3,3;140;2;;;;
24/01/2021;0;26,4;72;1001;0;0;0;5,7;31,6;;
24/01/2021;1200;25,4;86;1001,6;1,6;140;7;;;21,2;0
24/01/2021;1800;23,6;78;1000,4;3,3;140;10;;;;
25/01/2021;0;21,6;95;998,4;0,8;90;0;10,7;32,4;;
25/01/2021;1200;25;79;999;1,6;140;4;;;19;3,2
25/01/2021;1800;31,2;54;995,5;2;140;8;;;;
26/01/2021;0;27,2;76;994,3;0;0;2;2,6;28,4;;
26/01/2021;1200;26,6;75;995,8;1,6;360;8;;;22,6;0
26/01/2021;1800;25,8;91;993,6;0,3;360;10;;;;
27/01/2021;0;26;79;992,6;3,1;360;10;0,3;27,2;;
27/01/2021;1200;23,6;95;993,1;0;0;10;;;23,6;13
27/01/2021;1800;27,2;79;992,6;1,6;270;10;;;;
28/01/2021;0;22;91;994,2;2;180;10;3,1;29,4;;
28/01/2021;1200;23,4;93;995,6;2,5;140;8;;;21,4;13,6
28/01/2021;1800;27;80;993,2;3,5;180;10;;;;
29/01/2021;0;21;94;994,2;0,8;230;10;5,8;31;;
29/01/2021;1200;25;89;994;1,3;140;10;;;20,2;75,7
29/01/2021;1800;24,4;86;992,8;3,1;360;10;;;;
30/01/2021;0;23,2;98;994;1,6;50;10;8,6;32,2;;
30/01/2021;1200;27;72;996,6;0,5;140;4;;;20,2;14,6
30/01/2021;1800;27;89;995,6;2,6;140;8;;;;
31/01/2021;0;20,6;98;998,4;1,6;320;10;0;26,2;;
31/01/2021;1200;21,8;93;998,3;1,3;230;10;;;19,8;25,4
31/01/2021;1800;25,4;81;998;1,3;320;10;;;;
01/02/2021;0;23,8;88;997,8;0;0;5;7,5;31;;
01/02/2021;1200;22,8;93;1000,8;1,3;320;7;;;18,8;0
01/02/2021;1800;29,4;67;997,6;2,6;180;7;;;;
02/02/2021;0;26;87;998,8;0,8;140;6;7,1;31,2;;
02/02/2021;1200;25,8;81;1000,4;1,6;140;6;;;21;0
02/02/2021;1800;26,8;84;998,8;2,5;180;9;;;;
03/02/2021;0;26,4;92;999,2;1;180;5;0;26,4;;
03/02/2021;1200;23,8;99;1000,4;0,8;270;10;;;23;4,4
03/02/2021;1800;23;97;999;3,3;90;10;;;;
04/02/2021;0;25,8;84;996;5;360;9;9,8;27,4;;
04/02/2021;1200;22,2;87;999,2;1,6;320;8;;;19,6;48,4
04/02/2021;1800;26,6;63;999;3,3;230;8;;;;
05/02/2021;0;20,8;89;1000,6;0,8;230;10;10,6;25,2;;
05/02/2021;1200;19,8;78;1002,6;1,6;270;8;;;15,6;3,2
05/02/2021;1800;24;56;1000,3;2,6;230;7;;;;
06/02/2021;0;19,8;85;999,9;0,7;230;0;11,5;26,8;;
06/02/2021;1200;19,4;80;1004,2;2;180;2;;;13,6;0
06/02/2021;1800;25,6;60;1002,6;3,3;180;1;;;;
07/02/2021;0;21,2;83;1002,3;0;0;0;11,5;30,4;;
07/02/2021;1200;22;79;1004,4;0,8;140;0;;;15,6;0
07/02/2021;1800;29,8;49;1002,7;2,5;90;1;;;;
08/02/2021;0;24,6;79;1002,6;1;90;0;10;29,2;;
08/02/2021;1200;19,4;96;1003,2;1,6;90;10;;;16,2;0
08/02/2021;1800;29,2;61;1000,4;3,3;180;2;;;;
09/02/2021;0;22,8;78;1001,2;0;0;0;6,6;28,8;;
09/02/2021;1200;20;94;1003,8;1,6;140;10;;;17,6;0
09/02/2021;1800;28,8;70;1001,1;1,3;180;5;;;;
10/02/2021;0;22,6;78;1001,9;1,6;140;6;5,2;27,8;;
10/02/2021;1200;22,2;86;1004,8;2;140;8;;;16,8;0
10/02/2021;1800;26;75;1003;1,6;140;10;;;;
11/02/2021;0;21,2;85;1002,8;2,8;230;10;4,6;29,2;;
11/02/2021;1200;20,4;94;1002,6;1,3;140;10;;;17,6;0
11/02/2021;1800;29;63;999,2;3;230;7;;;;
12/02/2021;0;19,6;98;1001,4;0;0;10;1,1;26,2;;
12/02/2021;1200;20;98;1001,6;1,6;140;10;;;19;28,7
12/02/2021;1800;25;82;999,2;1,6;180;9;;;;
13/02/2021;0;20,8;98;999,9;0,8;180;8;7,4;28,8;;
13/02/2021;1200;21,6;93;1000,4;1,6;230;2;;;17,4;2,5
13/02/2021;1800;28,8;65;997,6;1;180;8;;;;
14/02/2021;0;24;91;996,6;0,5;140;8;6,2;29,8;;
14/02/2021;1200;21,2;98;997,2;1;140;10;;;20,2;0,2
14/02/2021;1800;29,8;58;994,2;1,6;320;7;;;;
15/02/2021;0;22,2;81;995,4;0,5;140;4;7,3;29,6;;
15/02/2021;1200;21,6;89;996,8;0,8;140;4;;;17;0,1
15/02/2021;1800;29,6;60;994,6;2,6;230;4;;;;
16/02/2021;0;22,2;91;995,6;1,6;230;6;9,3;29;;
16/02/2021;1200;21,6;93;995,8;1,6;320;10;;;18,9;0,9
16/02/2021;1800;28;58;995,5;3;230;7;;;;
17/02/2021;0;22,8;82;995,5;0,5;270;0;12;28,2;;
17/02/2021;1200;21,6;75;998,4;1,8;320;0;;;16,8;0
17/02/2021;1800;27,2;53;996,6;2,6;320;5;;;;
18/02/2021;0;22;72;996,6;0,5;320;0;9,4;27,8;;
18/02/2021;1200;21;87;999,1;1,3;270;10;;;17,8;0
18/02/2021;1800;27,2;62;998,2;3,8;230;6;;;;
19/02/2021;0;21,2;87;999;0,7;270;0;11,2;30,4;;
19/02/2021;1200;22,4;79;1000,7;1,3;50;0;;;15,8;0
19/02/2021;1800;29,8;44;999,5;2;230;0;;;;
20/02/2021;0;22,6;84;1000,7;0;0;0;11,2;31,6;;
20/02/2021;1200;24,4;67;1004;0,8;50;0;;;17,2;0
20/02/2021;1800;31,6;42;1001,6;1,5;180;3;;;;
21/02/2021;0;23,6;76;1001,6;1,3;140;0;9,1;30,8;;
21/02/2021;1200;21,4;93;1005,2;1;140;10;;;17,8;0
21/02/2021;1800;30,2;53;1001,2;3,3;140;2;;;;
22/02/2021;0;25,6;78;1000,6;0,8;90;0;6,1;33,2;;
22/02/2021;1200;22,2;92;1001,8;2,1;140;9;;;19,6;0
22/02/2021;1800;31;68;999,2;1,6;50;10;;;;
23/02/2021;0;27;87;998,6;1;180;1;3,2;30,8;;
23/02/2021;1200;25,2;92;1001,2;5,5;180;10;;;22,8;0
23/02/2021;1800;30,2;68;1000,8;2,5;230;10;;;;
24/02/2021;0;23;89;1002,2;0,5;320;8;11,5;29,2;;
24/02/2021;1200;22,2;75;1004;1,6;140;0;;;19;1,3
24/02/2021;1800;28,4;56;1001,5;2,5;140;2;;;;
25/02/2021;0;22,4;79;1001,1;0;0;0;11,1;29,4;;
25/02/2021;1200;20,2;83;1003,4;2,5;140;1;;;15,8;0
25/02/2021;1800;29;50;1001,4;3,3;140;0;;;;
26/02/2021;0;23,6;63;1001,5;3,3;140;0;11,6;30;;
26/02/2021;1200;21;84;1003,2;3,3;140;0;;;17;0
26/02/2021;1800;30;57;1001,5;3;140;2;;;;
27/02/2021;0;23,6;73;1002,7;1,6;90;0;11,5;29,8;;
27/02/2021;1200;22,8;83;1007,2;3,3;140;2;;;19;0
27/02/2021;1800;29,8;54;1005;4;140;4;;;;
28/02/2021;0;24,2;74;1005,5;3,3;140;0;9,2;29,2;;
28/02/2021;1200;22;86;1006,6;3,3;140;7;;;18,8;0
28/02/2021;1800;29,2;61;1003;3,8;140;7;;;;
01/03/2021;0;24,8;77;1001,6;3,6;140;5;10,2;31,4;;
01/03/2021;1200;23;88;1000,8;3,6;140;1;;;19,6;0
01/03/2021;1800;31,2;59;998;2,3;140;3;;;;
02/03/2021;0;25,2;81;997,9;0,8;140;0;8,7;31,6;;
02/03/2021;1200;22,6;93;1001,4;1,6;140;10;;;21,2;0
02/03/2021;1800;31,2;61;998,4;3,3;230;7;;;;
03/03/2021;0;26;84;999,4;0;0;10;4,6;31;;
03/03/2021;1200;23,4;91;1002,6;1,6;90;10;;;22,2;0
03/03/2021;1800;30,4;64;999,8;3,6;140;7;;;;
04/03/2021;0;26,8;80;1000,6;1,8;90;8;0,7;27;;
04/03/2021;1200;22,6;95;999,2;1;90;10;;;20;0,3
04/03/2021;1800;25,4;92;996,2;2,6;90;10;;;;
05/03/2021;0;20;98;996,4;0;0;10;5,8;28,4;;
05/03/2021;1200;21;98;997,8;0,5;360;10;;;19,6;10,9
05/03/2021;1800;27;75;996;2,5;320;6;;;;
06/03/2021;0;23,2;91;997,1;0;0;6;9,5;27;;
06/03/2021;1200;20,4;84;1001,5;1,6;180;7;;;19;4,8
06/03/2021;1800;26,2;53;999,6;3,3;230;5;;;;
07/03/2021;0;19,4;86;1001,2;0,7;140;0;11;27,4;;
07/03/2021;1200;19;90;1003,2;1,6;180;1;;;13,6;0
07/03/2021;1800;27,2;48;1001;1,8;140;3;;;;
08/03/2021;0;20;83;1000,2;0;0;0;10,4;29,2;;
08/03/2021;1200;19,4;90;1001,9;1,3;140;3;;;13;0
08/03/2021;1800;27,8;56;1000,2;1,6;180;7;;;;
09/03/2021;0;22,4;83;1000,4;0;0;0;9,6;28,4;;
09/03/2021;1200;20,6;97;1002,8;1,3;180;8;;;17,4;0
09/03/2021;1800;28,4;49;1001;2,6;180;6;;;;
10/03/2021;0;22,4;73;1001;0,5;140;3;10;28,2;;
10/03/2021;1200;19,6;93;1003,6;1,6;230;6;;;15;0
10/03/2021;1800;27;54;1000,2;0,8;50;4;;;;
11/03/2021;0;20,8;84;999,9;0;0;0;10,9;28,8;;
11/03/2021;1200;20;87;1002,7;0,8;140;0;;;14,8;0
11/03/2021;1800;28;47;1001;2,5;230;3;;;;
12/03/2021;0;19,6;78;1001,8;0;0;0;10,3;29,6;;
12/03/2021;1200;19,2;84;1002,8;0;0;4;;;13,2;0
12/03/2021;1800;29,6;36;1001,6;1,6;140;4;;;;
13/03/2021;0;19,2;81;1001,9;0,5;90;0;10,6;30,6;;
13/03/2021;1200;20,2;89;1003,8;0,8;140;0;;;19;0
13/03/2021;1800;30,4;40;1001,5;3,6;230;0;;;;
14/03/2021;0;22,4;74;1001;0;0;0;8,8;31,4;;
14/03/2021;1200;19,6;98;1004;1,6;140;10;;;15,4;0
14/03/2021;1800;30,8;49;1001,8;2;180;2;;;;
15/03/2021;0;23,8;75;1002,6;1,6;180;6;11,2;30,2;;
15/03/2021;1200;21,2;83;1003,8;3,3;140;3;;;17,6;0
15/03/2021;1800;29,2;53;1000,2;2,6;180;2;;;;
16/03/2021;0;24,2;76;1000,3;1,3;140;0;8,7;33,4;;
